 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6634] [1484138757 3ms] outbound/shadowsocks[proxy]: outbound connection to profile.accounts.firefox.com:443
INFO[6634] [2622288451 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:55702
INFO[6634] [2622288451 0ms] inbound/mixed[mixed-in]: inbound connection to sync-1-us-west1-g.sync.services.mozilla.com:443
INFO[6634] [2622288451 3ms] outbound/shadowsocks[proxy]: outbound connection to sync-1-us-west1-g.sync.services.mozilla.com:443
INFO[6635] [1419610228 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:55704
INFO[6635] [1419610228 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6635] [1419610228 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6635] [2644376676 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:55648
INFO[6635] [2644376676 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6635] [518781890 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:55664
INFO[6635] [518781890 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6635] [518781890 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6635] [2644376676 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6652] [2135741219 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:38540
INFO[6652] [2135741219 0ms] inbound/mixed[mixed-in]: inbound connection to ayouth.top:443
INFO[6652] [2135741219 6ms] outbound/shadowsocks[proxy]: outbound connection to ayouth.top:443
INFO[6655] [496678653 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:38550
INFO[6655] [496678653 1ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6655] [496678653 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6655] [2783132227 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:38562
INFO[6655] [2783132227 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6655] [2783132227 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6655] [4058859312 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:38570
INFO[6655] [4058859312 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6655] [4058859312 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6656] [79011574 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39170
INFO[6656] [79011574 0ms] inbound/mixed[mixed-in]: inbound connection to th.bing.com:443
INFO[6656] [79011574 1ms] outbound/shadowsocks[proxy]: outbound connection to th.bing.com:443
INFO[6656] [2591377479 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39180
